group_id,par_cand_idx,par_correct,par_score,par_margin,par_prob,par_start,par_end,yog_cand_idx,yog_correct,yog_score,yog_margin,yog_prob,yog_start,yog_end,kp_cand_idx,kp_correct,kp_score,kp_margin,kp_prob,kp_start,kp_end,death_jd,path_a,has_overlap
39811100,12,0,0.06091104260296566,0.014565902609712272,0.08082673119756648,2455515.9558350337,2455613.0400459706,2,0,0.9439381808233022,0.04468409258338746,0.04667836925292629,2454959.342060138,2455040.5087268045,5,0,0.055701919026016414,0.016932765357590043,0.08142632189005256,2455177.048645798,2455272.6308506588,2455078.0,0,False
39811200,1,0,-0.0033377889214114263,4.823988779658131e-08,0.017808610512135607,2457164.535732129,2457197.2053154623,13,1,0.8734001849003825,0.028888865141564635,0.06998646389352194,2457669.164386406,2457763.8588308506,3,0,0.03647453713218914,0.020404033193877374,0.019559331116919976,2457234.0177807407,2457262.1301939352,2457700.0,1,False
39811300,8,1,0.045950058076072595,0.0011120307076071256,0.05251505869342923,2427680.054489481,2427752.725711703,13,0,0.8891946972687936,0.005574802353532249,0.06730961533668696,2427821.171554548,2427900.083591585,6,0,0.046222984595618945,0.002378098199177829,0.05305869267174264,2427551.844975592,2427628.310739481,2427689.0,0,False
39811400,1,1,0.043785996516448024,0.015807547689526726,0.07429759709046889,2432762.092910086,2432828.4398961975,1,1,0.9088997577505326,0.04070802616161173,0.045859137270186,2432758.5294227884,2432848.7146079736,12,0,0.035995980234513475,0.000737357871744275,0.0731542435734754,2433241.8149656416,2433321.500340642,2432768.0,1,True
39811500,26,0,-0.010453300400271386,0.0038917541374228985,0.022439104931960677,2441724.689620318,2441752.954643755,2,0,0.8562517075490823,0.06569250211359967,0.03995249102261917,2441280.1227201927,2441352.270868341,1,0,0.009106181384824923,0.007593269044636737,0.024071656069086084,2441250.3719119844,2441277.8417557348,2441665.0,0,False
39811600,29,0,0.025220956489588536,0.012577907091938366,0.03353705903703039,2456078.487186604,2456143.58961716,11,0,0.8557461286269861,0.019042625403759228,0.0657944093929928,2455881.4606697243,2455960.372706761,29,0,0.06851008173790793,0.020625244430438013,0.035465211622015276,2456078.487186604,2456143.58961716,2455580.0,0,True
39811700,23,0,0.03458162141650858,0.015253930993583315,0.043751402423005535,2446258.7067766837,2446328.560839184,10,0,0.8709645959130103,0.04053197490193461,0.06703296763812601,2446051.642915672,2446130.554952709,23,0,0.021783727720876365,0.0007136855380210153,0.043682349969562696,2446258.7067766837,2446328.560839184,2445709.0,0,True
39811800,14,0,0.07515385640593263,0.039199083464739,0.05433051088972302,2440079.0896325246,2440166.4790769685,13,0,0.8386920843531425,0.03203222898417257,0.05536111174524565,2440062.9722593557,2440113.701426022,13,0,0.04859217362227662,0.011187740019716529,0.053361265321531695,2439991.412722802,2440079.0896325246,2440246.0,0,True
39811900,7,0,0.07523822354907374,0.04032282336245129,0.08867913862028524,2429270.7631189916,2429367.8473299285,8,0,0.884904001244798,0.003380529666754839,0.0631225218989174,2429432.793098469,2429543.2699503205,7,0,0.05073224373140224,0.0006651984224511354,0.08725620912892262,2429270.7631189916,2429367.8473299285,2429045.0,0,True
39812000,14,1,0.06865377445907792,0.02963594553284632,0.056685820155555545,2450984.443769297,2451096.8934220746,35,0,0.7467858354827512,0.01273096555579567,0.0225978677138192,2450920.167149992,2450943.840761103,14,1,0.050083085782834956,0.016548634308012608,0.05641199093489566,2450984.443769297,2451096.8934220746,2451062.0,1,True
39812100,6,0,0.08370647929917285,0.005461441080342383,0.10602551660163023,2440525.0604897086,2440621.242989708,6,0,0.893290172716711,0.0271201776100245,0.08674337512789773,2440470.722942231,2440565.4173866757,4,1,0.05762129603698694,0.010731403470406069,0.10374165695218229,2440355.3714272087,2440456.5761147086,2440420.0,0,True
39812200,3,0,0.07928023936110444,0.006833496298162475,0.11571395085355354,2434119.8469121084,2434234.063630858,27,0,0.8200579830026868,0.005811014627958966,0.046456501283184896,2434605.8561268086,2434668.985756438,4,0,0.03434879992869656,0.004596159359223098,0.11289113553179934,2434234.063630858,2434312.29646072,2434581.0,0,False
39812300,11,0,0.057130252160540164,0.0150590047598834,0.08057869984992477,2430191.2437765906,2430287.42627659,12,0,0.8513218448326286,0.005537542969575426,0.09068723119033395,2430284.243361755,2430378.9378061993,11,0,0.04980514353381945,0.0018102217068158913,0.0811798611745558,2430191.2437765906,2430287.42627659,2429925.0,0,True
39812400,2,0,0.06710413468574186,0.030463552346156747,0.10490961696048329,2458734.323556098,2458848.5402748478,1,0,0.9425484584843695,0.014431365018266362,0.058456317341036325,2458677.64407461,2458785.866296832,9,1,0.05031762499929937,0.007032575583751907,0.10337543833414434,2459242.9849102655,2459330.6618199884,2459314.0,0,True
39812500,3,0,0.05844241021736417,0.005603750732833035,0.1032236752014884,2452310.088294755,2452395.951636769,8,0,0.871742431495964,0.03929608072974722,0.05711498304447966,2452254.8277219385,2452308.9388330495,0,0,0.05489868850824503,0.008848958032317361,0.10477252573193457,2452036.505898922,2452141.172852047,2452715.0,0,False
39812600,7,1,0.028838261783678147,0.002699267751022541,0.047311144279131426,2434033.679677882,2434098.782108438,11,0,0.9314144447952244,0.041776509594431355,0.09174678753998478,2434362.478143162,2434470.700365384,6,0,0.04140085729066233,0.005780709556405028,0.048567320772373614,2433992.2931327443,2434033.679677882,2434049.0,0,False
39812700,9,0,0.0628792722721691,0.008444218405311718,0.08749097963221528,2431664.149079185,2431759.731284045,8,0,0.9013278358511357,0.004300417984145821,0.09468153952004531,2431664.898461818,2431775.37531367,9,0,0.05640084372781934,0.013768976378094218,0.08798695651623334,2431664.149079185,2431759.731284045,2431428.0,0,True
39812800,12,0,0.061657520132948215,0.0029016383864305106,0.08116553649658667,2438159.7548669768,2438225.939519754,0,0,0.845661881115648,0.021888773591293376,0.044592124155414546,2437505.8656906523,2437600.560135097,11,1,0.050403667059613924,0.0003580168500780731,0.08054754449170831,2438070.6947419764,2438159.7548669768,2438094.0,0,False
39812900,2,0,0.03582159075770537,0.03552012385402282,0.045588009959376834,2444766.7455044915,2444823.8538638665,1,0,0.9297819589861077,0.0270786028955049,0.08312277849701644,2444746.3197633117,2444841.014207756,5,0,0.03069040846131525,0.0011448264180677938,0.045457981093159655,2444901.5244454634,2444944.466685047,2445194.0,0,True
39813000,14,0,0.05921833682327855,0.0003132212898899339,0.06597149245458447,2437576.352379245,2437678.546285495,12,0,0.7071994229643483,0.01502183909320487,0.025517745065420306,2437186.7484333534,2437209.2947296496,14,0,0.04981002415764893,0.020338686157638237,0.06567844056385463,2437576.352379245,2437678.546285495,2437106.0,0,True
39813100,22,0,0.02405290665651356,0.01598457125185032,0.03463892557384712,2438466.3106795913,2438531.413110147,24,0,0.8052970697621962,0.008904665789704835,0.04465899307807652,2438559.586237269,2438601.8605428245,29,1,0.0540231462795018,0.02067310523022306,0.03654854923844798,2438688.41988098,2438734.07613098,2438710.0,1,False
39813200,0,1,-0.0037663467297945064,6.188877279623799e-06,0.021566539186783765,2451322.788993488,2451358.772882377,16,0,0.870682049869655,0.05772024152559352,0.06818164171161502,2451931.5280161947,2451999.1669050837,8,0,0.026277395182744624,0.010324447678012504,0.023434384507852672,2451503.30027821,2451540.7045837655,2451355.0,0,False
39813300,14,0,0.09483151760723471,0.04551026446714289,0.06840320563005789,2460943.546085231,2461043.1528039807,9,0,0.9142470425357317,0.04181728854986433,0.07863015333648217,2460807.152155305,2460901.8465997493,15,0,0.04792455991357377,0.014630380650564163,0.06507042410061659,2461043.1528039807,2461117.175113009,2460460.0,0,False
39813400,6,0,0.11135208512270153,0.05507690199011566,0.09940263266390101,2439984.4171377136,2440084.0238564634,16,0,0.7427674744191258,0.00010249915018178957,0.03223476184844467,2439982.1362211346,2440015.955665579,9,0,0.05538211761804675,0.01149636667904256,0.09481296376716067,2440237.386582158,2440326.788283547,2440181.0,0,True
39813500,3,0,0.08952724107888614,0.02460605986173349,0.08934620846967993,2454873.0143459938,2454996.7089640494,1,0,0.8167201585427243,0.007039532995920861,0.03697215496666325,2454745.201710473,2454808.3313401025,10,0,0.05659847745455034,0.0056692039046881346,0.08685633139006506,2455295.0218286323,2455381.7687036325,2455132.0,0,False
39813600,44,0,-0.004548012332186248,0.00375029997669348,0.022541436449605108,2452146.622227078,2452170.9722270775,3,0,0.8085054389542632,0.030912878377328035,0.0347507275985964,2451535.585826306,2451576.1691596396,35,0,0.027676343690101624,0.002353024676876099,0.02413731977162252,2451959.9388937447,2451995.4493104117,2451951.0,0,False
39813700,30,0,0.0033465080331542677,0.005953382556483226,0.03188977982515649,2454103.0790599776,2454136.448494439,7,1,0.857333014021806,0.029737533202283006,0.056166976777897865,2453842.320854629,2453952.7977064806,29,0,0.04615833275240613,0.018853363054299698,0.033672430073203,2454071.0309089357,2454103.0790599776,2453898.0,0,False
39813800,2,0,-0.0043665594733441285,3.3524447070540364e-05,0.017204174270105406,2437916.538170249,2437945.9656911255,23,0,0.8265097081988346,0.05614081192964737,0.03476786825250071,2438247.9483729233,2438288.531706257,1,0,0.02486269595707685,0.011548603022308647,0.01888334370156116,2437889.0831462434,2437916.538170249,2438057.0,0,False
39813900,5,0,-0.006539369082378878,0.0007966671581600814,0.03159536428897869,2440732.5331810047,2440769.3885547025,11,0,0.8401638927223327,0.0007712981740910507,0.05281490584509785,2440928.9287771177,2440984.1672030436,24,0,0.047424762998854134,0.02037891962892169,0.03386290290768802,2441197.46810722,2441219.854465727,2440789.0,0,False
39814000,14,0,-0.004399050925135916,0.002974467529701541,0.022053353713316265,2459764.292613745,2459806.3724574954,35,0,0.7921605799604624,0.0009381790910389931,0.03660889072854598,2460171.954205737,2460239.593094626,14,0,0.017466556299032026,0.0005700914362991617,0.023674474976007068,2459764.292613745,2459806.3724574954,2460008.0,0,True
39814100,1,0,0.07819207070453482,0.023287201998789295,0.08827940577567918,2450191.9092913563,2450279.812791356,13,0,0.7862644234954305,0.006991273494714512,0.05784107192760794,2450493.0630939673,2450574.229760634,7,0,0.07163002597613048,0.031458063369681225,0.08965791755239882,2450471.667963232,2450567.8124163565,2450131.0,0,True
39814200,9,0,0.06472270444540604,0.010701751110132988,0.08769899069936812,2435497.7138703805,2435599.1996820127,14,0,0.8442837298576108,0.06645426455213188,0.05309170165171495,2435406.0483226716,2435469.177952301,10,0,0.040919002659888265,0.0010999844144791299,0.08656035158036086,2435599.1996820127,2435667.8742913874,2435721.0,0,False
39814300,19,0,0.04672085337817735,0.003462959434414749,0.04586722591589676,2415548.4088718346,2415625.517205168,22,0,0.7726623961507724,0.0280287062005814,0.03729087692864227,2415409.4479851634,2415450.031318497,0,0,0.0301923316247615,0.003875418007631023,0.045843636946094925,2415011.6537051676,2415070.1241426677,2415362.0,0,False
39814400,6,0,0.07343452485910193,0.0008575121821628173,0.09564210855427678,2412881.5283780564,2412983.0141896885,10,0,0.8444359146400795,0.0024204324955643397,0.06530416373157091,2412974.7648093738,2413053.6768464106,6,0,0.05860916601673277,0.015671948905350758,0.09493263454275483,2412881.5283780564,2412983.0141896885,2413055.0,0,True
39814500,48,0,-0.0033624007854921164,0.0025637163611510107,0.019916607729368423,2454878.413954798,2454905.0163297984,10,0,0.8557690193720678,0.02782246870126881,0.06669498270676426,2454608.825267101,2454677.8732995084,46,0,0.021916315287691772,0.001996774734134548,0.02113101094922266,2454837.855986047,2454858.6092881314,2454499.0,0,False
39814600,9,0,0.039619711466321275,0.0023670527940343467,0.06117374432109448,2451742.012876224,2451817.619626224,17,0,0.8585970713953457,0.04054593021828223,0.05349893533442865,2452083.137195956,2452155.2853441043,12,0,0.062408046252671254,0.021816715606253236,0.06349233636559813,2451935.5953762243,2452025.994751224,2452044.0,0,False
39814700,3,0,0.045224246837727335,0.007169699795800857,0.08580662369086159,2444983.094976801,2445078.5621955507,41,0,0.7630257623747656,0.01486871436658288,0.026623091787857732,2445352.7127580503,2445388.223174717,3,0,0.07390141575547106,0.026212700899333453,0.08808175527079638,2444983.094976801,2445078.5621955507,2445298.0,0,True
39814800,17,0,0.04014707239793612,0.0009373783500286892,0.04755110753653502,2448667.926847212,2448752.299597212,8,0,0.8817866948593138,0.015835894838818865,0.07101456997353081,2448600.8754236097,2448664.0050532394,19,0,0.04865216435622126,0.004226675737448372,0.04853841889106661,2448815.000847212,2448882.2068472123,2448322.0,0,False
39814900,35,0,-0.006552951984066071,0.0014040442516011428,0.019850521803066686,2443090.130780978,2443116.474437229,26,0,0.8028697282534978,0.023204058903535052,0.03875545823609442,2443174.031611864,2443228.142722975,46,0,0.033485582548906635,0.009599332316182114,0.021330342124874554,2443280.6086559785,2443306.257322645,2442856.0,0,False
39815000,3,0,0.06343913135253468,0.03623371182446232,0.03475976597226358,2448109.8679210762,2448194.6629913882,9,1,0.9380394358189059,0.02303339421408057,0.08259622940117882,2448414.9895473765,2448523.2117695985,0,0,0.06927289104350255,0.020168994930138906,0.035797501773957206,2447976.599018299,2448014.080897205,2448468.0,1,False
39815100,0,0,0.026180327976139405,0.004421772797037586,0.0385231391435563,2445872.2919608047,2445946.817334069,1,0,0.8891974196506764,0.04870216980345621,0.047273781037019465,2445949.0106113856,2446043.70505583,1,0,0.05439630440082034,0.021421555641190054,0.03994582133590438,2445946.817334069,2446006.1789139304,2446423.0,0,True
39815200,6,1,0.07177039858509662,0.0017622466372798212,0.09538107978744435,2420531.8643654226,2420624.0223515327,7,0,0.8394936605790736,0.05448000953228649,0.055409984308370686,2420386.919836366,2420497.3966882178,6,1,0.049272916609609675,0.0004821435441813224,0.09459636237194927,2420531.8643654226,2420624.0223515327,2420548.0,1,True
