chart_id,top1_correct,top1_score,top2_score,margin_abs,margin_norm,top1_prob,n_candidates,q,qp
39833600,0,0.8593987718074365,0.8481644865249276,0.011234285282508916,0.025886035481322005,0.06221451279042971,19,Q2,Q3
39833700,0,0.7955934367125415,0.7794491629299771,0.016144273782564333,0.026813863264338288,0.03491019619619762,38,Q2,Q1 (low)
39833800,0,0.7701264250703242,0.7484097983590354,0.021716626711288822,0.0457171713750417,0.03950140432051939,31,Q2,Q2
39833900,0,0.843640105590252,0.8331273630952463,0.010512742495005778,0.01926468542722361,0.07366709324888542,16,Q2,Q4 (high)
39834000,0,0.890206458999856,0.870101216537339,0.020105242462516992,0.03963281759426145,0.07789172353007079,16,Q2,Q4 (high)
39834100,0,0.8777433483151309,0.8726661891910686,0.005077159124062258,0.006448292855094398,0.04861069238737119,29,Q1 (low),Q2
39834200,0,0.8871660064827356,0.884292460645146,0.002873545837589586,0.0055300122696979,0.081393796377164,15,Q1 (low),Q4 (high)
39834300,0,0.7718083481275395,0.7677625157228534,0.004045832404686145,0.006619421674763512,0.0354514993627983,38,Q1 (low),Q1 (low)
39834400,0,0.8233709311985654,0.8069224725975447,0.016448458601020732,0.021714517856405335,0.0339095821622523,42,Q2,Q1 (low)
39834500,0,0.9500688535531038,0.9250538330814296,0.025015020471674143,0.029728731673009885,0.05303908141975802,28,Q3,Q2
39834600,0,0.8731060629317953,0.8542673465661224,0.018838716365672914,0.03397538500508083,0.08563314925162453,14,Q2,Q4 (high)
39834700,0,0.9087715267448904,0.9038989891689022,0.004872537575988156,0.006906128592965409,0.05648770352316961,25,Q1 (low),Q3
39834800,0,0.875864880015568,0.8214507980074017,0.05441408200816622,0.09521011613266386,0.07562387710782338,16,Q4 (high),Q4 (high)
39834900,0,0.9064459190048696,0.8800301406020037,0.026415778402865908,0.043365038152777535,0.07591573194194362,17,Q3,Q4 (high)
39835000,0,0.8201127818065534,0.7978225640086118,0.022290217797941603,0.05230895268680083,0.047545443748143755,26,Q3,Q2
39835100,0,0.8969916270304487,0.8914178323292286,0.005573794701220103,0.009730812803058098,0.08379811274591768,15,Q1 (low),Q4 (high)
39835200,0,0.8720717197636719,0.8614478299904773,0.010623889773194617,0.013754980774046348,0.02253807534215115,75,Q2,Q1 (low)
39835300,0,0.8970119282944342,0.8906308480178193,0.006381080276614881,0.01156485708875681,0.07496247392836312,17,Q1 (low),Q4 (high)
39835400,0,0.8739187754605433,0.8034937237911398,0.0704250516694035,0.14098410363318653,0.09308555876769244,13,Q4 (high),Q4 (high)
39835500,0,0.912126399978781,0.8875888538154806,0.024537546163300394,0.0337461781564825,0.05677473010094493,23,Q3,Q3
39835600,1,0.8654780781845248,0.8403083825763835,0.025169695608141307,0.03350221139359583,0.044822284975208106,31,Q3,Q2
39835700,0,0.8285411186921526,0.8110104100374718,0.01753070865468087,0.04185542157245196,0.06882159791248664,17,Q2,Q3
39835800,0,0.8809408575403643,0.8682164969505417,0.012724360589822625,0.03118737855869333,0.0856971570649688,14,Q2,Q4 (high)
39835900,1,0.862229330965059,0.8251981308292315,0.0370312001358275,0.06520207302249241,0.05785566054192454,21,Q3,Q3
39836000,0,0.728255460131306,0.7084434324044047,0.019812027726901382,0.0314280045110192,0.025376650239923488,52,Q2,Q1 (low)
39836100,0,0.928034493114226,0.8119722192997165,0.11606227381450951,0.17805823359328582,0.09041682908472166,14,Q4 (high),Q4 (high)
39836200,0,0.8992710095676484,0.8501868442205196,0.04908416534712878,0.0994437060134949,0.11012512720577278,11,Q4 (high),Q4 (high)
39836300,0,0.9033290328798168,0.8690150687020662,0.03431396417775057,0.06991513590811406,0.08240833328565687,15,Q3,Q4 (high)
39836400,0,0.7917352278733014,0.7834788140774063,0.008256413795895146,0.011706447248870943,0.0420462934041996,32,Q1 (low),Q2
39836500,0,0.8257162330030566,0.8014045353427566,0.024311697660300058,0.0472470142602637,0.04941689055445618,25,Q3,Q2
39836600,1,0.8796257235695104,0.8563820542175034,0.023243669352007057,0.032405563658605675,0.05830498153389251,22,Q3,Q3
39836700,0,0.7378050240071172,0.7223016900756913,0.015503333931425889,0.023809845742556932,0.024608147678436047,53,Q2,Q1 (low)
39836800,0,0.7686637436654807,0.7173487864435673,0.05131495722191348,0.07154181846849784,0.01753395006838036,88,Q4 (high),Q1 (low)
39836900,0,0.8710654736246142,0.8159554596442073,0.055110013980406825,0.1016575673601474,0.07227913518774132,17,Q4 (high),Q4 (high)
39837000,0,0.9165543383176521,0.8468283581767516,0.06972598014090048,0.13298642037768782,0.08548782457004654,15,Q4 (high),Q4 (high)
39837100,0,0.8868643144109056,0.8700005732616927,0.016863741149212963,0.019375268124445025,0.050734608195157876,29,Q2,Q2
39837200,0,0.8551905300870112,0.8036458357183863,0.051544694368624855,0.06700752507590661,0.04046678115136956,34,Q4 (high),Q2
39837300,0,0.8625323280413987,0.8533657532461381,0.009166574795260618,0.018383673250614473,0.06767598349083358,18,Q1 (low),Q3
39837400,0,0.9022476178570509,0.8935727288231535,0.008674889033897348,0.013857906310459831,0.08208419495327414,15,Q1 (low),Q4 (high)
39837500,0,0.9149547093545192,0.8740463081651499,0.040908401189369226,0.06078444898758128,0.05797914666245415,23,Q4 (high),Q3
39837600,1,0.9405663206093673,0.913408545592141,0.02715777501722627,0.03571492757432967,0.05173649559226164,28,Q3,Q2
39837700,1,0.8970962145210093,0.8858009656827508,0.011295248838258498,0.015571865078292866,0.09171516709345356,14,Q2,Q4 (high)
39837800,0,0.81357834104066,0.8014205135235974,0.012157827517062514,0.021114796098057477,0.044417889469850355,29,Q2,Q2
39837900,1,0.8881374356507699,0.8091219231650018,0.0790155124857681,0.09868220179403649,0.047871796132919836,29,Q4 (high),Q2
39838000,0,0.8906545644520947,0.8704887878152818,0.02016577663681285,0.03481142261996988,0.0816700864981234,15,Q2,Q4 (high)
39838100,1,0.8929079909562789,0.851744276628509,0.041163714327769885,0.05108025806199637,0.05437675219132721,26,Q4 (high),Q2
39838200,0,0.8575640511122488,0.847346705657066,0.010217345455182714,0.019568048151402027,0.08553676352419577,14,Q2,Q4 (high)
39838300,0,0.8333109913679322,0.8329405970112662,0.00037039435666597065,0.0005902138123365795,0.04556342336368573,27,Q1 (low),Q2
39838400,0,0.8611098567340726,0.7737764422376301,0.0873334144964425,0.14429020638576165,0.051523434884939205,25,Q4 (high),Q2
39838500,0,0.8256719884453388,0.8209805173111984,0.004691471134140479,0.01041477258514384,0.06568222937411769,18,Q1 (low),Q3
39838600,0,0.8897995888177384,0.8837948474296202,0.006004741388118129,0.011459944208987683,0.07029343908357834,17,Q1 (low),Q3
39838700,0,0.861116692814303,0.8591538180400694,0.001962874774233625,0.004068957776942014,0.06629483459758696,18,Q1 (low),Q3
39838800,0,0.8712753785022291,0.8677872488058478,0.003488129696381348,0.0053154372474328426,0.06828718801487371,20,Q1 (low),Q3
39838900,0,0.8117219652093315,0.7883911669242009,0.023330798285130627,0.033066126491332795,0.023005541475052186,64,Q3,Q1 (low)
39839000,0,0.788554518942975,0.773477983546227,0.015076535396748025,0.024034550462926362,0.03592936307240859,35,Q2,Q1 (low)
39839100,0,0.7942312814827615,0.7679228236526354,0.02630845783012603,0.039269044457495225,0.03231904940423659,42,Q3,Q1 (low)
39839200,1,0.8610433804371458,0.8344526163580523,0.026590764079093443,0.03568491266965134,0.04758487716379121,28,Q3,Q2
39839300,0,0.8186034803306766,0.8175803909727468,0.0010230893579298295,0.001455655194240209,0.03874090745224245,35,Q1 (low),Q1 (low)
39839400,0,0.8083027991930026,0.7693497605627648,0.0389530386302378,0.05123599525828363,0.03295030393261117,42,Q3,Q1 (low)
39839500,0,0.915945121187528,0.8718691256144163,0.044075995573111704,0.05470315734945881,0.04028776094778686,37,Q4 (high),Q2
39839600,0,0.8701203752004865,0.8103355223177788,0.05978485288270763,0.11132522513651429,0.08033059605078802,16,Q4 (high),Q4 (high)
39839700,0,0.8692981898008654,0.8630695618367239,0.0062286279641414755,0.011125719105766887,0.04720625815056565,28,Q1 (low),Q2
